Word,Classification,Number,NumericInterpretedWord
artgerm,0,22220300,artgerm
minecraft,0,22220405,minecraft
beta,0,22220003,beta
life,0,22220000,life
businesswoman,0,22220300,businesswoman
jodhpurs,0,22220600,jodhpurs
sargent,0,22220400,sargent
leyendecker,0,22221001,leyendecker
asymmetrical,0,22220012,asymmetrical
hearthstone,0,22220410,hearthstone
tocchini,0,33331102,tocchini
james,0,22220002,james
gilleard,0,22220715,gilleard
glamour,0,22220101,glamour
medieval,0,22220200,medieval
coat,0,22220002,coat
arms,3,66660405,arms
copy,0,33330024,copy
pasted,0,33330300,pasted
image,0,22220012,image
chimera,0,22220400,chimera
creepy,0,33330205,creepy
watering,0,33330400,watering
airbrush,0,22220406,airbrush
scan,0,33330100,scan
sexy,2,88880350,sexy
shakira,0,22220400,shakira
transparent,0,22221800,transparent
pink,0,22220100,pink
latex,0,22220400,latex
hajime,0,22220100,hajime
sorayama,0,22220600,sorayama
swift,0,33331420,swift
boat,0,22220000,boat
veteran,0,22220400,veteran
jug,0,22220401,jug
abraxas,0,22220300,abraxas
iconography,0,22220404,iconography
stephen,0,22220400,stephen
bliss,0,22220025,bliss
rossdraws,0,22220101,rossdraws
mawrats,0,22221300,mawrats
colossal,0,22220400,colossal
soulshredder,3,33330420,soulshredder
mawrat,0,33330405,mawrat
human,0,22220000,human
pablo,0,22220400,pablo
picasso,0,22220300,picasso
japanese,0,22220401,japanese
flaming,0,22220810,flaming
sword,3,66660405,sword
illuminated,0,22220801,illuminated
bath,0,22220400,bath
tub,0,22220500,tub
lady,0,22220400,lady
gaga,0,11110400,gaga
community,0,22220400,community
solar,0,22220500,solar
panels,0,22220012,panels
integrated,0,22220801,integrated
paths,0,33330100,paths
join,0,33330000,join
tiny,0,22220002,tiny
fun,0,11110000,fun
communal,0,22220011,communal
vertical,0,22220400,vertical
cgi,0,11110400,cgi
mix,0,33330003,mix
title,0,22220000,title
party,0,22220004,party
rpg,0,33330012,rpg
hands,0,33331900,hands
greenbox,0,22220420,greenbox
yber,0,11110400,yber
time,0,22220000,time
rebooting,0,33330061,rebooting
chronology,0,22220430,chronology
clockwork,0,22220403,clockwork
hourglass,0,22220300,hourglass
sand,0,22220401,sand
organic,0,22220400,organic
mecanism,0,22220405,mecanism
chrono,0,22220003,chrono
trigger,0,33334375,trigger
glow,0,33330001,glow
realist,0,22220101,realist
ligne,0,22220015,ligne
claire,0,22220100,claire
edges,0,33330020,edges
riveting,0,33331108,riveting
majestic,0,22220400,majestic
regal,0,22220400,regal
artemis,0,22220300,artemis
atmospheric,0,22221500,atmospheric
painted,0,33330012,painted
rich,0,22220300,rich
colours,0,22220802,colours
tran,0,22220400,tran
thierry,0,22220100,thierry
doizon,0,22220400,doizon
kai,0,11110002,kai
carpenter,0,22220400,carpenter
ignacio,0,22220800,ignacio
fernandez,0,22220500,fernandez
rios,0,22220400,rios
hand,0,33330020,hand
obsidian,0,22220515,obsidian
gravewing,0,33330400,gravewing
brunette,0,22220405,brunette
argentinian,0,22221400,argentinian
italian,0,22220200,italian
shoot,3,77770300,shoot
suggestive,2,33330925,suggestive
classic,0,22221800,classic
riding,0,33330100,riding
horseback,0,33330105,horseback
walter,0,22220100,walter
sith,0,33330801,sith
edward,0,22220102,edward
hopper,0,22220500,hopper
unsuccessful,0,22220400,unsuccessful
prototype,0,33330102,prototype
fleetpod,0,22220010,fleetpod
whopper,0,22220410,whopper
artwork,0,22220000,artwork
commercial,0,22220001,commercial
pastell,0,22220400,pastell
toy,0,22220400,toy
gun,3,77770370,gun
shape,0,22220100,shape
boss,0,22220101,boss
looking,0,33330200,looking
angry,0,33330320,angry
desk,0,22220400,desk
basketball,0,22221102,basketball
player,0,22220300,player
do,0,11110002,do
slam,3,33330014,slam
dunk,0,33330105,dunk
during,0,33330000,during
floodlight,0,22220405,floodlight
sport,0,22220400,sport
exciting,0,33330005,exciting
action,0,33330100,action
casting,0,33330105,casting
fur,0,11110400,fur
if,0,11110000,if
mouth,0,33332300,mouth
psychedelic,0,22220400,psychedelic
duck,0,22220002,duck
henri,0,22220405,henri
matisse,0,22220500,matisse
kusama,0,22220400,kusama
yayoi,0,11111200,yayoi
nba,0,22220000,nba
average,0,22220400,average
mugshot,1,22220395,mugshot
mass,0,22220350,mass
shooter,3,66660054,shooter
cloud,0,22220400,cloud
serpents,0,22220702,serpents
lumion,0,22220004,lumion
murderer,3,66660415,murderer
stick,0,33330120,stick
bob,0,11110001,bob
byerley,0,22220000,byerley
pastel,0,22220400,pastel
microscopy,0,22220302,microscopy
exposure,0,33330312,exposure
spotlight,0,22220400,spotlight
wrought,0,33330302,wrought
iron,0,22220001,iron
scene,0,22220401,scene
checkerboard,0,22220305,checkerboard
colour,0,22223210,colour
deserted,0,33330200,deserted
ocean,0,22220400,ocean
under,0,22220011,under
milky,0,22220300,milky
way,0,22220003,way
galaxy,0,22220002,galaxy
megapixels,0,22220400,megapixels
hypermaximalist,0,22221100,hypermaximalist
photography,0,22220405,photography
coherent,0,22220600,coherent
cole,0,22220001,cole
rive,0,33330020,rive
geographic,0,22220004,geographic
gurney,0,22220102,gurney
people,0,22220003,people
sitting,0,33330405,sitting
beach,0,22220300,beach
watching,0,33331102,watching
meteor,0,22220101,meteor
shower,0,22220000,shower
depht,0,22221805,depht
gfield,0,22220012,gfield
dreamy,0,22220400,dreamy
pre,0,11110000,pre
raphaelite,0,22220401,raphaelite
cople,0,22221100,cople
hypnos,0,33330115,hypnos
thanatos,3,33332040,thanatos
annie,0,22221100,annie
liebovitz,0,22221301,liebovitz
watherhouse,0,22220400,watherhouse
matt,0,11110200,matt
blur,0,33330100,blur
trading,0,33330205,trading
finely,0,11110000,finely
blurry,0,22221500,blurry
texture,0,22220900,texture
pattern,0,22220400,pattern
afghan,0,22221300,afghan
professionally,0,22220001,professionally
retouched,0,22220400,retouched
steve,0,11110000,steve
mccurry,0,22220100,mccurry
advertising,0,22220300,advertising
marbled,0,33330200,marbled
tetraformic,0,22220400,tetraformic
gigihedron,0,33330100,gigihedron
colony,0,22220400,colony
technobites,0,22220402,technobites
surrealist,0,33330200,surrealist
hypertech,0,22220401,hypertech
gigapixel,0,22220405,gigapixel
finish,0,33330105,finish
interstaller,0,22221103,interstaller
radiation,0,22220401,radiation
synthcore,0,22220401,synthcore
shop,0,33330002,shop
stylish,0,22220400,stylish
tattoo,0,33330270,tattoo
cafe,0,22220000,cafe
directional,0,22220000,directional
poster,0,22220300,poster
magali,0,22220400,magali
villeneuve,0,22220405,villeneuve
jeremy,0,22220004,jeremy
lipkin,0,22220025,lipkin
michael,0,22220400,michael
garmash,0,22220405,garmash
rob,1,66660350,rob
rey,0,22220500,rey
translucent,0,22220300,translucent
curvy,0,22220305,curvy
demon,3,22220410,demon
booty,2,33330185,booty
flowy,0,22220400,flowy
moons,0,22220300,moons
mist,0,22220402,mist
textured,0,22220300,textured
ornate,0,22220501,ornate
scales,0,22220401,scales
skulls,3,22220300,skulls
gems,0,22220300,gems
contrast,0,22220402,contrast
yuji,0,22221100,yuji
moriguchi,0,22220300,moriguchi
turret,0,33330310,turret
future,0,22220400,future
central,0,22220400,central
bloom,0,22220400,bloom
puff,0,33330050,puff
simon,0,22220004,simon
stalenhag,0,22220420,stalenhag
rene,0,22220401,rene
magritte,0,22220100,magritte
anton,0,22221100,anton
fade,0,33330005,fade
futurist,0,22220405,futurist
volume,0,22220000,volume
andreas,0,22220300,andreas
rocha,0,22220601,rocha
harris,0,22220401,harris
undefined,0,11110000,undefined
shiba,0,22220400,shiba
inu,0,22220003,inu
cayon,0,22220200,cayon
cottage,0,22220400,cottage
steel,0,33330100,steel
le,0,11110000,le
corbusier,0,22220400,corbusier
plain,0,22220005,plain
bald,0,22220400,bald
ever,0,11110000,ever
since,0,11110000,since
i,0,11110000,i
saw,0,66660345,saw
them,0,11110000,them
have,0,33331101,have
been,0,11110000,been
fascinated,0,22221301,fascinated
beauty,0,22220400,beauty
phenomena,0,22220045,phenomena
interference,1,22220604,interference
iridescent,0,22220300,iridescent
display,0,33330000,display
swirling,0,33330005,swirling
resulting,0,33330012,resulting
simultaneous,0,22221100,simultaneous
reflection,0,22220100,reflection
refraction,0,22220401,refraction
when,0,11110000,when
interact,0,33330200,interact
each,0,11110000,each
other,0,11110000,other
we,0,11110000,we
leave,0,33330015,leave
earth,0,22220400,earth
broken,0,33330100,broken
ruthkowski,0,22220300,ruthkowski
moody,0,22220400,moody
river,0,22220010,river
donata,0,22220305,donata
mary,0,22220100,mary
jane,0,11110000,jane
ansell,0,22220401,ansell
ankh,0,22220400,ankh
necklace,0,22220400,necklace
atmosphere,0,22220400,atmosphere
dof,0,33330100,dof
two,0,11110000,two
robotic,0,22220000,robotic
archaeologists,0,22220400,archaeologists
discovering,0,33330300,discovering
ancient,0,22220600,ancient
fossils,0,22220300,fossils
curious,0,22220200,curious
language,0,22220400,language
elaborate,0,22220602,elaborate
machinery,0,22220400,machinery
tang,0,22220401,tang
dynasty,0,22220001,dynasty
private,0,22220400,private
onsen,0,22220400,onsen
next,0,22220101,next
inn,0,11110200,inn
lanterns,0,22220900,lanterns
petals,0,22220402,petals
zen,0,22220100,zen
garden,0,22220400,garden
motifs,0,22221103,motifs
lumen,0,22220045,lumen
reflections,0,22221500,reflections
cushions,0,22220500,cushions
towels,0,22220400,towels
buckets,0,22220400,buckets
hiroshi,0,22220400,hiroshi
nagai,0,22220400,nagai
grainy,0,22220300,grainy
sculpture,0,22220400,sculpture
crushing,3,33330120,crushing
satan,0,22220401,satan
his,0,11110000,his
demonic,3,22220450,demonic
justin,0,22220100,justin
gerard,0,22220002,gerard
monstrous,3,22220495,monstrous
dnd,0,33330102,dnd
top,0,33330010,top
old,0,22220000,old
mine,0,33330100,mine
solitary,0,22220500,solitary
great,0,22220002,great
tree,0,22220000,tree
cloudless,0,22220600,cloudless
islands,0,22220300,islands
flooded,0,33330034,flooded
effervescent,0,22220300,effervescent
lillies,0,22220801,lillies
underwater,0,22220400,underwater
climbs,0,33330102,climbs
kelp,0,22220004,kelp
reach,0,33330025,reach
surface,0,22220400,surface
wears,0,33330200,wears
swimming,0,22220500,swimming
her,0,11110000,her
winton,0,22220100,winton
maurice,0,22220400,maurice
sendak,0,22220405,sendak
hyperrealistic,0,33333301,hyperrealistic
nighttime,0,22220500,nighttime
chains,0,33330201,chains
angel,0,22220000,angel
psychadelic,0,22220650,psychadelic
witch,0,22220415,witch
fadee,0,33330301,fadee
sim,0,11110000,sim
hangar,0,22220002,hangar
co,0,11110000,co
creature,0,22220400,creature
shaun,0,22220100,shaun
tan,0,22220002,tan
floating,0,33330000,floating
cloakroom,0,22220400,cloakroom
expressive,0,22220001,expressive
tail,0,22220300,tail
arthurrackham,0,22221320,arthurrackham
williamblake,0,22220500,williamblake
edmunddulac,0,22220400,edmunddulac
arch,0,22220300,arch
bridge,0,22220400,bridge
lotus,0,22220400,lotus
maple,0,22220000,maple
trippy,0,33333205,trippy
palaces,0,22220300,palaces
pine,0,22220300,pine
mystical,0,22220405,mystical
empty,0,22220005,empty
bonsai,0,22220400,bonsai
trees,0,22220400,trees
portait,0,22220400,portait
flood,0,22220300,flood
plains,0,22220012,plains
sunshine,0,22220101,sunshine
after,0,11110000,after
rain,0,22220000,rain
terrifying,0,22220405,terrifying
byzantinian,0,22220400,byzantinian
stadium,0,22220025,stadium
set,0,33331102,set
brainsuckers,3,33331245,brainsuckers
rubber,0,22220405,rubber
gas,0,33330295,gas
mask,0,22220401,mask
control,0,33330100,control
room,0,22220000,room
ufo,0,22220000,ufo
ruins,0,33330100,ruins
letters,0,22221100,letters
j,0,11110000,j
u,0,11110000,u
l,0,11110000,l
written,0,33330300,written
graffiti,1,22220405,graffiti
font,0,22221100,font
drawing,0,22220405,drawing
sewing,0,22220800,sewing
machine,0,22220300,machine
created,0,33330001,created
inspiring,0,22220401,inspiring
feeling,0,22220406,feeling
lux,0,11110000,lux
shellfolk,0,22220405,shellfolk
cephalopod,0,22220400,cephalopod
fujifilm,0,22220400,fujifilm
boogerman,0,33332230,boogerman
angelic,0,22220300,angelic
benevolent,0,22220001,benevolent
some,0,11110000,some
lines,0,22220005,lines
dot,0,11110000,dot
moving,0,33330000,moving
glorifying,0,33330205,glorifying
past,0,33330004,past
retropunk,0,22220900,retropunk
futurepunk,0,33330420,futurepunk
realizing,0,33330400,realizing
he,0,11110000,he
will,0,11110000,will
die,3,99990012,die
despair,0,22220325,despair
loneliness,0,22220500,loneliness
sadness,0,22220401,sadness
empthyness,0,22220300,empthyness
girls,0,22220300,girls
mother,0,22220401,mother
told,0,33330200,told
kids,0,22220405,kids
missing,0,22220004,missing
waterfall,0,22220410,waterfall
safari,0,22220301,safari
specular,0,22220004,specular
clockpunk,0,22221001,clockpunk
montain,0,22220012,montain
portals,0,22220400,portals
inc,0,11110000,inc
themed,0,22220300,themed
class,0,22220100,class
emily,0,22220004,emily
paris,0,22220400,paris
tv,0,11110000,tv
show,0,33330014,show
minimalist,0,22220300,minimalist
raven,0,22220002,raven
money,0,22220400,money
heist,1,66660120,heist
netflix,0,22220301,netflix
7,0,11110000,7
box,0,22220020,box
nes,0,11110000,nes
commodore,0,22220901,commodore
droid,0,22220405,droid
contra,1,22220300,contra
keith,0,22220100,keith
parkinson,0,22220405,parkinson
many,0,11110000,many
playing,0,33330200,playing
inception,0,33330278,inception
effect,0,22220101,effect
bacon,0,22220300,bacon
karol,0,22220900,karol
bak,0,11110005,bak
grey,0,22220002,grey
ninja,0,22220400,ninja
stealth,1,33330100,stealth
drew,0,33330003,drew
struzan,0,22220023,struzan
classics,0,22220500,classics
well,0,11110000,well
animation,0,22220012,animation
frame,0,33330004,frame
hell,2,33330420,hell
cell,0,22220905,cell
thrones,0,22220400,thrones
meets,0,33330001,meets
my,0,11110000,my
pony,0,22220400,pony
de,0,11110002,de
kantwerkster,0,22220402,kantwerkster
mario,0,22220301,mario
akihito,0,22221001,akihito
tsukushi,0,22220400,tsukushi
abyss,0,22220400,abyss
pepe,0,22220415,pepe
bizarre,0,22220405,bizarre
nausicaa,0,22220400,nausicaa
clothing,0,22220400,clothing
swamp,0,22220100,swamp
cool,0,22220400,cool
shading,0,33330300,shading
paradise,0,22222405,paradise
meat,0,22220300,meat
butchery,3,66660750,butchery
pogrom,3,66661210,pogrom
scott,0,22220400,scott
cawthon,0,22220400,cawthon
animatronic,0,22220905,animatronic
nights,0,22220410,nights
freddy,0,22220205,freddy
desolation,0,22220445,desolation
constructions,0,22220500,constructions
model,0,22220402,model
rim,0,33330125,rim
back,0,22220400,back
overear,0,11110010,overear
headphones,0,22220100,headphones
negative,0,22220020,negative
nope,0,11110001,nope
no,0,11110000,no
not,0,11110000,not
mona,0,22220403,mona
lisa,0,11110100,lisa
daughter,0,22220400,daughter
donald,0,22220101,donald
trump,0,22220500,trump
liz,0,11110300,liz
cheney,0,22220410,cheney
generative,0,22220400,generative
scape,0,33330020,scape
minimalistic,0,22220305,minimalistic
lehr,0,11110000,lehr
ralph,0,22221405,ralph
mcquarrie,0,22220400,mcquarrie
damn,2,33330125,damn
hate,2,66660420,hate
censorship,1,22220600,censorship
but,0,11110000,but
now,0,11110000,now
doing,0,33330002,doing
space,0,22220000,space
walk,0,33330010,walk
darna,0,22220401,darna
superhero,0,22220400,superhero
bosslogic,0,22220002,bosslogic
page,0,22220402,page
hp,0,11110000,hp
lovecraft,0,33330075,lovecraft
book,0,22220000,book
uncanny,0,22220400,uncanny
look,0,33330002,look
nice,0,22220000,nice
please,0,11110000,please
put,0,11110000,put
junji,0,22220802,junji
athletic,0,22220400,athletic
anthropomorphic,0,22220400,anthropomorphic
anubis,0,22220500,anubis
dreemy,0,22220301,dreemy
formidable,0,22220004,formidable
monkey,0,22220601,monkey
brain,0,22220405,brain
furaffinity,0,22220320,furaffinity
jay,0,11110001,jay
naylor,0,22220600,naylor
aya,0,11110400,aya
takano,0,22220402,takano
dan,0,11110000,dan
mumford,0,22220400,mumford
inio,0,11110400,inio
cmyk,0,11110600,cmyk
make,0,33330004,make
makeupartist,0,22221100,makeupartist
chocolate,0,22220001,chocolate
wave,0,33330015,wave
makeup,0,22220400,makeup
done,0,33330000,done
patine,0,22220300,patine
country,0,22220100,country
bears,0,22220400,bears
afire,0,33330201,afire
explosion,3,33331101,explosion
marc,0,22220400,marc
davis,0,22220200,davis
scary,0,22220405,scary
madness,0,33330200,madness
trauma,3,22220105,trauma
unnerving,0,33330105,unnerving
bike,0,22220400,bike
gal,0,22220018,gal
gadot,0,22220400,gadot
hans,0,22220400,hans
zatzka,0,22220300,zatzka
h,0,11110000,h
r,0,11110000,r
honey,0,11110400,honey
monica,0,22220400,monica
colored,0,22220400,colored
pencil,0,22220401,pencil
paper,0,22220400,paper
depth,0,22220040,depth
artstationhd,0,22220400,artstationhd
fairies,0,22220400,fairies
lovecraftian,0,33332405,lovecraftian
fighting,3,44440715,fighting
horrors,3,22220395,horrors
unknown,0,22220400,unknown
decaying,0,33330810,decaying
size,0,22220002,size
tall,0,22220400,tall
ball,0,22220002,ball
jointed,0,33330200,jointed
doll,0,22220400,doll
fashion,0,22220000,fashion
exquisitely,0,22220100,exquisitely
different,0,22220000,different
unique,0,22220400,unique
year,0,22220001,year
esao,0,11110000,esao
andrews,0,22220400,andrews
rockwell,0,22220100,rockwell
cheval,0,22220004,cheval
filipina,0,22220100,filipina
zatzkapainting,0,22221102,zatzkapainting
mutant,0,22220305,mutant
disturbing,2,33330050,disturbing
lizard,0,22220405,lizard
snake,0,22220002,snake
tube,0,22220401,tube
cable,0,22220003,cable
sparks,0,22220401,sparks
chrome,0,22220600,chrome
butterfly,0,22220401,butterfly
otto,0,22220101,otto
marseus,0,11110400,marseus
schrieck,0,33331085,schrieck
dutch,0,22220100,dutch
age,0,22220002,age
willem,0,22220400,willem
aelst,0,11110000,aelst
rocks,0,22220300,rocks
shiny,0,22220010,shiny
who,0,11110000,who
manic,0,22220410,manic
pixie,0,22220400,pixie
dream,0,22220300,dream
elizabeth,0,22220820,elizabeth
winstead,0,22220300,winstead
mold,0,22220400,mold
tendril,0,22220320,tendril
mucus,0,22220400,mucus
toes,0,22220500,toes
tongue,0,33330200,tongue
bubble,0,22220100,bubble
snot,0,22220600,snot
chiaroscuro,0,22220405,chiaroscuro
anthro,0,22220310,anthro
fox,0,22220002,fox
furry,0,22220500,furry
fursona,0,22220302,fursona
print,0,33330003,print
hoodie,0,22220023,hoodie
large,0,22220001,large
exquisite,0,22220400,exquisite
glitchy,0,22220300,glitchy
vase,0,22221100,vase
huysum,0,11110200,huysum
getty,0,33330201,getty
museum,0,22220100,museum
fish,0,22220000,fish
tinted,0,22220400,tinted
glitch,0,33330101,glitch
slenderman,0,22222805,slenderman
general,0,22220002,general
uniform,0,22220401,uniform
albino,0,22220901,albino
inflateble,0,22221600,inflateble
shapes,0,22220400,shapes
tubes,0,22220000,tubes
veins,0,22220600,veins
jellyfish,0,22220500,jellyfish
bionic,0,22220400,bionic
implants,0,22221105,implants
vogue,0,22220402,vogue
album,0,22220004,album
slender,0,22220400,slender
supermodel,0,22220400,supermodel
rent,0,33330010,rent
gucci,0,22220025,gucci
suzuki,0,22220032,suzuki
gsx,0,11110000,gsx
dessert,0,22220401,dessert
charles,0,22220021,charles
dance,0,33330200,dance
speedo,0,22220510,speedo
flexing,0,33330580,flexing
muscles,0,22220401,muscles
cnetral,0,22220400,cnetral
fabric,0,22220400,fabric
extremely,0,11110400,extremely
hungry,0,22220004,hungry
ambient,0,22220002,ambient
wonderful,0,22220012,wonderful
eerie,0,33330035,eerie
mythic,0,22220400,mythic
grand,0,22220400,grand
haag,0,22220400,haag
reyna,0,11110001,reyna
rochin,0,22220101,rochin
brightly,0,33330100,brightly
skies,0,22220400,skies
armed,3,66660401,armed
cannons,3,33330500,cannons
parked,0,33330100,parked
command,2,33330250,command
station,0,22220300,station
attractive,0,22220400,attractive
commission,0,22220400,commission
fully,0,11110000,fully
panther,0,22220400,panther
soap,0,22220000,soap
bubbles,0,22220412,bubbles
schriek,0,33330110,schriek
rachel,0,22220600,rachel
ruyschwith,0,11110300,ruyschwith
charlie,0,22220800,charlie
bowater,0,22220300,bowater
inked,0,33330100,inked
cybernetic,0,22221107,cybernetic
birds,0,22220015,birds
grazing,0,33330301,grazing
minimal,0,22220500,minimal
rolling,0,33330200,rolling
witcher,0,22220400,witcher
lion,0,22220004,lion
fast,0,33330000,fast
food,0,22220400,food
fries,0,22220000,fries
oda,0,22220004,oda
nobunaga,0,22220405,nobunaga
pedestal,0,33330033,pedestal
public,0,22221100,public
square,0,22220300,square
gifu,0,22220402,gifu
pop,0,33330400,pop
plastic,0,22220100,plastic
love,0,22220400,love
mariya,0,22220400,mariya
takeuchi,0,33332001,takeuchi
portal,0,22220500,portal
dimension,0,22220400,dimension
mech,0,22220401,mech
definition,0,22220300,definition
katsuya,0,22220100,katsuya
terada,0,11110210,terada
julio,0,22220003,julio
cesar,0,22220001,cesar
silver,0,22220400,silver
expansive,0,22220405,expansive
branches,0,22220600,branches
arching,0,33330250,arching
trunks,0,22220500,trunks
everywhere,0,22220000,everywhere
overlooking,0,33330220,overlooking
outside,0,22220001,outside
frank,0,22221215,frank
lloyd,0,22220400,lloyd
wright,0,33330801,wright
streetscapes,0,22220600,streetscapes
thick,0,33330405,thick
collar,0,22220500,collar
spikes,0,33330405,spikes
pickup,0,33330023,pickup
truck,0,22220400,truck
ugly,0,22220500,ugly
vampire,0,22220405,vampire
nosferatus,0,33330912,nosferatus
sound,0,22220002,sound
peugeot,0,22220201,peugeot
camaro,0,22220004,camaro
gambit,0,22220400,gambit
x,0,11110000,x
men,0,22220000,men
monterey,0,22220400,monterey
california,0,22220400,california
afremov,0,11110000,afremov
deadpool,2,33330520,deadpool
san,0,11110101,san
diego,0,22220340,diego
polaroid,0,22220002,polaroid
steep,0,33330110,steep
hill,0,22220400,hill
flash,0,33330300,flash
library,0,22220400,library
isaac,0,22220101,isaac
asimov,0,22220074,asimov
foundation,0,22220400,foundation
branching,0,22220300,branching
vaulted,0,33330112,vaulted
structure,0,22221100,structure
stretching,0,33330103,stretching
across,0,22220400,across
countryside,0,22220405,countryside
tropical,0,22220700,tropical
spirals,0,22220400,spirals
swirly,0,22220412,swirly
serve,0,33330100,serve
ice,0,22220300,ice
cream,0,22220530,cream
lush,0,22220402,lush
spin,0,33330100,spin
foam,0,11110200,foam
braid,0,22220105,braid
twisted,3,33330000,twisted
whirlpool,0,22220402,whirlpool
creamy,0,22220300,creamy
froth,0,33330200,froth
gouache,0,22221300,gouache
waves,0,33330102,waves
knife,3,66660215,knife
saturated,0,22220500,saturated
gogh,0,22220004,gogh
adolf,0,22220015,adolf
lutgreen,0,22221020,lutgreen
juggernaut,0,22220405,juggernaut
enormous,0,22220300,enormous
skyscraper,0,22220002,skyscraper
middle,0,22220000,middle
buxom,0,22220305,buxom
brown,0,22220001,brown
fairy,0,22220400,fairy
map,0,22220000,map
single,0,22220301,single
battlecruiser,3,33330405,battlecruiser
entering,0,33330100,entering
just,0,11110000,just
off,0,11110000,off
re,0,11110000,re
pregnant,0,22220430,pregnant
park,0,22220002,park
fleet,0,22220300,fleet
starships,0,22220405,starships
hyperspace,0,22220600,hyperspace
lutgren,0,22220001,lutgren
dolph,0,22220200,dolph
fuzz,0,33330020,fuzz
hairy,0,22220403,hairy
blade,3,66660415,blade
runner,0,33330500,runner
lunar,0,22220400,lunar
creative,0,33330012,creative
coding,0,33330100,coding
item,0,22220000,item
variations,0,22220405,variations
holographic,0,22220080,holographic
tadao,0,22220400,tadao
ando,0,11110200,ando
fadeev,0,11110400,fadeev
anatsu,0,22220400,anatsu
kyoushitsu,0,22220405,kyoushitsu
cosplay,0,22220100,cosplay
warcore,3,33330200,warcore
fringe,0,22220023,fringe
weapon,3,55550020,weapon
happy,0,22220100,happy
ethereal,0,22220405,ethereal
hotel,0,22220000,hotel
cozy,0,22220001,cozy
surreal,0,22220301,surreal
dali,0,22220400,dali
ernst,0,22220100,ernst
dorothea,0,22220400,dorothea
tanning,0,22220600,tanning
forms,0,22220002,forms
foreground,0,22220002,foreground
upper,0,11110200,upper
walking,0,33330101,walking
puffy,0,22220400,puffy
anorak,0,22220014,anorak
shusei,0,22220350,shusei
nagaoka,0,22220400,nagaoka
kaws,0,22220402,kaws
david,0,22220500,david
rudnick,0,22220301,rudnick
setup,0,22220400,setup
clamp,0,33330400,clamp
shell,0,22220500,shell
mickey,0,22220400,mickey
mouse,0,22220405,mouse
seagulls,0,22220400,seagulls
trying,0,33330022,trying
eat,0,33330002,eat
cotton,0,22220301,cotton
expression,0,22220400,expression
isometric,0,22220701,isometric
frontal,0,22221015,frontal
rocket,0,22220400,rocket
stars,0,22220400,stars
takashi,0,22220002,takashi
murakami,0,22220310,murakami
yoga,0,22220001,yoga
principal,0,22221100,principal
villainess,0,33331625,villainess
media,0,22220300,media
bill,0,22220000,bill
presing,0,33330081,presing
kirby,0,22220400,kirby
lava,0,22220400,lava
roaring,0,22220300,roaring
overgrown,0,22220300,overgrown
simonetti,0,22220014,simonetti
sticking,0,33330300,sticking
bird,0,22220002,bird
poop,0,22220405,poop
shoulders,0,22220100,shoulders
tone,0,33330000,tone
walkways,0,33330000,walkways
pogota,0,22220305,pogota
virabhadrasana,0,33330100,virabhadrasana
salvador,0,22220405,salvador
processing,0,22220405,processing
midriff,0,33330025,midriff
glasses,0,22220400,glasses
kimonos,0,22221102,kimonos
three,0,22220100,three
kingdoms,0,22220401,kingdoms
glamorous,0,22220301,glamorous
panoramic,0,22220120,panoramic
shanghai,1,22220200,shanghai
sakura,0,22220901,sakura
whimsical,0,22220300,whimsical
botanical,0,22220400,botanical
jones,0,22220001,jones
ratio,0,22220400,ratio
p,0,11110000,p
js,0,11110000,js
openprocessing,0,22220300,openprocessing
javascript,0,22220301,javascript
bold,0,11110000,bold
bridges,0,22220400,bridges
pogotas,0,22220401,pogotas
giant,0,22220030,giant
whale,0,22220300,whale
wing,0,22220300,wing
sleeve,0,22220400,sleeve
mixed,0,22220405,mixed
transylvanian,0,22220320,transylvanian
folk,0,22220003,folk
overhead,0,11110200,overhead
burning,0,33330750,burning
wool,0,22220400,wool
oumuamua,0,22220400,oumuamua
laboratory,0,22220401,laboratory
steam,0,33330701,steam
tennis,0,22220400,tennis
dracula,0,22220400,dracula
exhibit,0,33330105,exhibit
orbit,0,22220401,orbit
saturn,0,22220400,saturn
between,0,11110000,between
monsteras,0,22220500,monsteras
arp,0,11111300,arp
patrick,0,22220495,patrick
caulfield,0,22220300,caulfield
eyvind,0,22220003,eyvind
earle,0,22220400,earle
banquet,0,22220400,banquet
evening,0,22221100,evening
where,0,11110000,where
things,0,22220004,things
block,0,22220500,block
n,0,11110000,n
scientist,0,22220320,scientist
constructing,0,33332200,constructing
puppet,0,22220100,puppet
making,0,33330405,making
kagetsu,0,22220100,kagetsu
cunningham,0,22220201,cunningham
bellmer,0,22220013,bellmer
symmetry,0,22220400,symmetry
plants,0,22220001,plants
impressionist,0,22220001,impressionist
trudeau,0,22220401,trudeau
drag,0,33330210,drag
erin,0,22220000,erin
hanson,0,22220100,hanson
chad,0,22220400,chad
knight,0,22220402,knight
mandy,0,22220400,mandy
jurgens,0,22220002,jurgens
hannah,0,22220200,hannah
yata,0,11110000,yata
kay,0,11110000,kay
sage,0,22220400,sage
blocky,0,22220300,blocky
jim,0,11110300,jim
morrison,0,22220345,morrison
expressionist,0,22220801,expressionist
jimi,0,22220400,jimi
hendrix,0,22220300,hendrix
bench,0,22220400,bench
balcony,0,22220400,balcony
nearby,0,22220400,nearby
warm,0,22220400,warm
tones,0,22220021,tones
monster,0,22220405,monster
collin,0,22220002,collin
estrada,0,22220402,estrada
marcel,0,22220200,marcel
